Date,Time,Measurement,Presence
26/12/2018,19:03:56,28.09468508,Yes
26/12/2018,19:15:46,19.44261789,Yes
26/12/2018,19:15:55,26.00935698,Yes
26/12/2018,19:19:56,24.1489172,Yes
26/12/2018,19:35:56,23.92811775,Yes
26/12/2018,19:51:44,23.87087345,Yes
26/12/2018,19:55:50,21.67514563,Yes
26/12/2018,19:55:58,29.19459343,Yes
26/12/2018,19:56:13,29.08828259,Yes
26/12/2018,20:06:56,24.7990489,Yes
26/12/2018,20:11:43,24.14482832,Yes
26/12/2018,20:26:56,23.89540672,Yes
26/12/2018,20:42:56,28.17237377,Yes
26/12/2018,20:58:56,23.69914055,Yes
26/12/2018,21:14:56,23.81771803,Yes
26/12/2018,21:30:56,26.27922297,Yes
26/12/2018,21:46:43,19.72475052,Yes
26/12/2018,22:01:56,23.91993999,Yes
26/12/2018,22:17:56,28.11921835,Yes
26/12/2018,22:33:56,27.06428766,Yes
26/12/2018,22:43:02,26.81486607,Yes
26/12/2018,22:43:18,27.99246311,Yes
26/12/2018,22:43:24,29.96739149,Yes
26/12/2018,22:43:32,21.09043598,Yes
26/12/2018,22:49:56,19.70430613,Yes
26/12/2018,23:05:49,8.488512039,Yes
26/12/2018,23:05:56,24.57416058,Yes
26/12/2018,23:21:43,23.99762869,Yes
26/12/2018,23:36:56,28.07424068,Yes
26/12/2018,23:52:56,23.91176224,Yes
27/12/2018,00:08:56,29.24365997,Yes
27/12/2018,00:24:24,26.43868923,Yes
27/12/2018,00:24:56,28.08241844,Yes
27/12/2018,08:51:43,23.73185158,Yes
27/12/2018,09:06:56,25.8130908,Yes
27/12/2018,09:20:01,29.8692584,Yes
27/12/2018,09:22:56,24.10393953,Yes
27/12/2018,09:38:56,23.08171988,Yes
27/12/2018,09:54:56,24.17753935,Yes
27/12/2018,10:10:56,28.15601826,Yes
27/12/2018,10:26:43,23.93629551,Yes
27/12/2018,10:41:56,24.10802841,Yes
27/12/2018,10:57:56,28.15601826,Yes
27/12/2018,11:13:56,28.21735144,Yes
27/12/2018,11:29:56,23.85860682,Yes
27/12/2018,11:45:56,29.41539288,Yes
27/12/2018,12:01:43,23.94856215,Yes
27/12/2018,12:16:56,23.91993999,Yes
27/12/2018,12:32:56,23.91585112,Yes
27/12/2018,12:44:29,21.13132477,Yes
27/12/2018,12:46:43,29.69343662,Yes
27/12/2018,12:47:50,29.73023653,Yes
27/12/2018,12:48:56,23.86678457,Yes
27/12/2018,12:55:31,25.73540211,Yes
27/12/2018,12:55:45,8.431267738,Yes
27/12/2018,12:55:54,16.22467041,Yes
27/12/2018,12:56:00,18.2159543,Yes
27/12/2018,12:56:07,13.30112219,Yes
27/12/2018,12:56:14,26.83939934,Yes
27/12/2018,13:04:56,28.09468508,Yes
27/12/2018,13:20:56,23.82589579,Yes
27/12/2018,13:24:14,24.62322712,Yes
27/12/2018,13:28:51,5.519986153,Yes
27/12/2018,13:35:08,27.20739841,Yes
27/12/2018,13:36:42,23.49469662,Yes
27/12/2018,13:38:51,28.70392799,Yes
27/12/2018,13:39:18,14.58503008,Yes
27/12/2018,13:39:31,18.62893105,Yes
27/12/2018,13:40:43,19.0582633,Yes
27/12/2018,13:40:57,29.90605831,Yes
27/12/2018,13:41:12,13.17845583,Yes
27/12/2018,13:41:32,28.74890566,Yes
27/12/2018,13:41:59,27.33006477,Yes
27/12/2018,13:42:22,29.86108065,Yes
27/12/2018,13:43:37,14.96120691,Yes
27/12/2018,13:51:56,26.67175531,Yes
27/12/2018,13:54:30,21.13132477,Yes
27/12/2018,14:07:56,23.5560298,Yes
27/12/2018,14:08:19,20.21950483,Yes
27/12/2018,14:12:10,27.07246542,Yes
27/12/2018,14:16:09,8.181846142,Yes
27/12/2018,14:18:14,21.90003395,Yes
27/12/2018,14:20:23,23.21256399,Yes
27/12/2018,14:20:31,17.74982214,Yes
27/12/2018,14:20:43,17.58217812,Yes
27/12/2018,14:20:57,17.03835726,Yes
27/12/2018,14:21:17,5.834829807,Yes
27/12/2018,14:21:30,13.01081181,Yes
27/12/2018,14:21:39,21.55247927,Yes
27/12/2018,14:21:55,24.1489172,Yes
27/12/2018,14:22:02,18.22004318,Yes
27/12/2018,14:22:17,14.26200867,Yes
27/12/2018,14:23:56,23.59691858,Yes
27/12/2018,14:26:23,22.49292135,Yes
27/12/2018,14:26:52,8.75428915,Yes
27/12/2018,14:26:57,25.33060312,Yes
27/12/2018,14:31:03,11.37117147,Yes
27/12/2018,14:32:47,10.4675293,Yes
27/12/2018,14:33:51,20.9146142,Yes
27/12/2018,14:33:57,12.8595233,Yes
27/12/2018,14:34:04,18.45719814,Yes
27/12/2018,14:34:52,28.09468508,Yes
27/12/2018,14:34:58,18.72706413,Yes
27/12/2018,14:35:42,29.75885868,Yes
27/12/2018,14:35:55,22.80367613,Yes
27/12/2018,14:36:02,24.22660589,Yes
27/12/2018,14:36:11,18.59213114,Yes
27/12/2018,14:36:17,29.39494848,Yes
27/12/2018,14:36:27,12.10308075,Yes
27/12/2018,14:37:57,24.98713732,Yes
27/12/2018,14:39:57,19.74519491,Yes
27/12/2018,14:40:59,20.94323635,Yes
27/12/2018,14:41:11,15.57453871,Yes
27/12/2018,14:41:52,29.30499315,Yes
27/12/2018,14:45:49,15.40280581,Yes
27/12/2018,14:48:28,22.6564765,Yes
27/12/2018,14:48:50,22.66465425,Yes
27/12/2018,14:50:45,20.22359371,Yes
27/12/2018,14:50:55,13.58325481,Yes
27/12/2018,14:51:05,14.06574249,Yes
27/12/2018,14:51:57,10.60246229,Yes
27/12/2018,14:52:47,11.12174988,Yes
27/12/2018,14:52:58,14.34787512,Yes
27/12/2018,14:53:39,27.92704105,Yes
27/12/2018,14:54:24,28.09468508,Yes
27/12/2018,14:54:36,12.11125851,Yes
27/12/2018,14:54:47,29.3540597,Yes
27/12/2018,14:55:32,24.39833879,Yes
27/12/2018,14:55:54,25.18749237,Yes
27/12/2018,14:56:10,10.16495228,Yes
27/12/2018,14:56:29,29.37450409,Yes
27/12/2018,14:58:31,29.95103598,Yes
27/12/2018,14:59:35,21.84278965,Yes
27/12/2018,14:59:44,28.88383865,Yes
27/12/2018,14:59:51,25.66589117,Yes
27/12/2018,14:59:58,27.37913132,Yes
27/12/2018,15:00:25,22.90589809,Yes
27/12/2018,15:01:51,25.50233603,Yes
27/12/2018,15:02:28,20.07639408,Yes
27/12/2018,15:02:32,24.74589348,Yes
27/12/2018,15:02:43,29.86516953,Yes
27/12/2018,15:02:47,21.88776731,Yes
27/12/2018,15:02:53,14.14343119,Yes
27/12/2018,15:03:08,25.82535744,Yes
27/12/2018,15:03:17,17.12013483,Yes
27/12/2018,15:03:25,14.97347355,Yes
27/12/2018,15:03:30,19.47124004,Yes
27/12/2018,15:03:36,20.18270493,Yes
27/12/2018,15:03:54,9.522998333,Yes
27/12/2018,15:04:02,21.95727825,Yes
27/12/2018,15:04:04,29.8897028,Yes
27/12/2018,15:04:33,15.07569551,Yes
27/12/2018,15:04:36,14.19658661,Yes
27/12/2018,15:04:43,12.72050142,Yes
27/12/2018,15:04:47,26.85166597,Yes
27/12/2018,15:04:55,29.72614765,Yes
27/12/2018,15:05:10,21.09452486,Yes
27/12/2018,15:05:20,28.38090658,Yes
27/12/2018,15:05:28,22.48883247,Yes
27/12/2018,15:05:32,28.86339426,Yes
27/12/2018,15:05:45,15.8239603,Yes
27/12/2018,15:05:48,28.11104059,Yes
27/12/2018,15:05:51,29.97148037,Yes
27/12/2018,15:06:17,27.01522112,Yes
27/12/2018,15:06:22,28.58535051,Yes
27/12/2018,15:06:56,14.85898495,Yes
27/12/2018,15:07:18,13.63232136,Yes
27/12/2018,15:07:29,18.23230982,Yes
27/12/2018,15:07:33,18.23230982,Yes
27/12/2018,15:07:37,18.42039824,Yes
